num_env_steps_sampled_lifetime,num_episodes_lifetime,num_env_steps_trained_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,timers/training_iteration_time_sec,timers/restore_workers_time_sec,timers/training_step_time_sec,env_runners/episode_duration_sec_mean,env_runners/episode_len_min,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/num_env_steps_sampled,env_runners/episode_return_mean,env_runners/num_episodes,env_runners/num_env_steps_sampled_lifetime,env_runners/sample,env_runners/episode_len_mean,env_runners/episode_len_max,num_agent_steps_sampled_lifetime/default_agent,fault_tolerance/num_healthy_workers,fault_tolerance/num_in_flight_async_reqs,fault_tolerance/num_remote_worker_restarts,perf/cpu_util_percent,perf/ram_util_percent,env_runners/agent_episode_returns_mean/default_agent,env_runners/num_agent_steps_sampled/default_agent,env_runners/num_agent_steps_sampled_lifetime/default_agent,env_runners/num_module_steps_sampled_lifetime/default_policy,env_runners/module_episode_returns_mean/default_policy,env_runners/num_module_steps_sampled/default_policy,learners/default_policy/vf_explained_var,learners/default_policy/num_non_trainable_parameters,learners/default_policy/curr_kl_coeff,learners/default_policy/vf_loss,learners/default_policy/entropy,learners/default_policy/total_loss,learners/default_policy/policy_loss,learners/default_policy/num_trainable_parameters,learners/default_policy/vf_loss_unclipped,learners/default_policy/gradients_default_optimizer_global_norm,learners/default_policy/default_optimizer_learning_rate,learners/default_policy/mean_kl_loss,learners/default_policy/curr_entropy_coeff,learners/default_policy/module_train_batch_size_mean,learners/default_policy/diff_num_grad_updates_vs_sampler_policy,learners/default_policy/num_module_steps_trained,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_non_trainable_parameters
4000,38,4052,False,1,94ea2_00000,2024-12-07_19-54-00,1733597640,7.061851978302002,7.061851978302002,2720159,DanielAhmed,192.168.137.208,7.061851978302002,1,2.5527735429932363,4.473039208998671,0.01921399700222537,7.047899007797241,1.3828277587890625e-05,7.047807216644287,0.5879119263998674,1,10.0,-42.822553875882875,4000,-17.363041855579272,38,4000,2.358486455574166,75.23684210526316,100,4000,14,0,0,26.490909090909096,79.88181818181819,-17.363041855579272,4000,4000,4000,-17.363041855579272,4000,0.004918575286865234,0,0.25,2.420830726623535,2.0778775215148926,1.2676405906677246,0.07745978236198425,1224441,2.435276985168457,3.0735526084899902,0.0001,0.0010889199329540133,0.01,4052,0.0,4052,1224441,4052,4052,0.5533146639936604,0
8000,96,8124,False,2,94ea2_00000,2024-12-07_19-54-06,1733597646,6.114328145980835,13.176180124282837,2720159,DanielAhmed,192.168.137.208,13.176180124282837,2,2.5500506925032824,4.466298584778561,0.019220491962332744,6.574296474456787,1.2159347534179688e-05,6.57418167591095,0.5828740316507173,1,10.0,-43.0837849360693,4000,-17.267327669462144,58,64000,2.3582274235732648,74.08999999999997,100,8000,14,0,0,34.4125,83.9,-17.267327669462144,4000,12000,12000,-17.267327669462144,4000,0.0012252330780029297,0.0,0.125,2.503082752227783,2.0760414600372314,1.1795375347137451,-0.05182109773159027,1224441.0,7.76195764541626,0.9510078430175781,0.0001,0.0023102283012121916,0.01,4052.002,1.0,4072,1224441.0,4072,4072,0.5532863412752601,0.0
12000,151,12193,False,3,94ea2_00000,2024-12-07_19-54-12,1733597652,6.101977586746216,19.278157711029053,2720159,DanielAhmed,192.168.137.208,19.278157711029053,3,2.5473365303482427,4.459568894820882,0.01915407206277305,6.411988576253255,1.1920928955078125e-05,6.41186245282491,0.5666549029203763,1,10.0,-43.0837849360693,4000,-17.2755562387393,55,180000,2.3577546008646353,74.82,100,12000,14,0,0,31.200000000000003,84.57777777777777,-17.2755562387393,4000,24000,24000,-17.2755562387393,4000,0.0004037618637084961,0.0,0.0625,3.0748019218444824,2.0744223594665527,1.503191351890564,-0.013858791440725327,1224441.0,4.877898693084717,4.986995220184326,0.0001,0.0031463750638067722,0.01,4052.00566,2.0,4069,1224441.0,4069,4069,0.5532361838041274,0.0
16000,207,16263,False,4,94ea2_00000,2024-12-07_19-54-18,1733597658,5.973951101303101,25.252108812332153,2720159,DanielAhmed,192.168.137.208,25.252108812332153,4,2.5446403792047745,4.451627790852661,0.019124512032172438,6.299188733100891,1.1801719665527344e-05,6.299059152603149,0.5605402538510472,1,10.0,-43.034933844580344,4000,-16.899905682742283,56,352000,2.3570849307872446,75.24285714285716,100,16000,14,0,0,30.855555555555554,84.43333333333334,-16.899905682742283,4000,40000,40000,-16.899905682742283,4000,0.0012964606285095215,0.0,0.03125,3.249650478363037,2.07137393951416,1.5831252336502075,-0.021204311400651932,1224441.0,4.906390190124512,3.7962920665740967,0.0001,0.003488151589408517,0.01,4052.0110466,3.0,4070,1224441.0,4070,4070,0.5531524398545905,0.0
20000,252,20321,False,5,94ea2_00000,2024-12-07_19-54-24,1733597664,5.933763265609741,31.185872077941895,2720159,DanielAhmed,192.168.137.208,31.185872077941895,5,2.541649683672676,4.443659476604111,0.019120967371933566,6.22347059249878,1.1730194091796876e-05,6.22333779335022,0.6052516644201905,1,10.0,-43.034933844580344,4000,-21.073552872513005,45,580000,2.356208964193802,81.72857142857144,100,20000,14,0,0,34.37500000000001,84.525,-21.073552872513005,4000,60000,60000,-21.073552872513005,4000,0.0041942596435546875,0.0,0.015625,3.0735459327697754,2.07079815864563,1.5410066843032837,0.024885408580303192,1224441.0,3.425352096557617,6.0044755935668945,0.0001,0.001805712003260851,0.01,4052.016924902,4.0,4058,1224441.0,4058,4058,0.5530360792060642,0.0
24000,297,24380,False,6,94ea2_00000,2024-12-07_19-54-30,1733597670,5.988147258758545,37.17401933670044,2720159,DanielAhmed,192.168.137.208,37.17401933670044,6,2.538970522506048,4.436065184548062,0.019072963148072445,6.182031591733296,1.1881192525227865e-05,6.181896090507507,0.6229313809387638,1,10.0,-43.034933844580344,4000,-22.27544191673762,45,864000,2.3551862537340646,84.0785714285714,100,24000,14,0,0,30.311111111111114,84.7888888888889,-22.27544191673762,4000,84000,84000,-22.27544191673762,4000,0.002802431583404541,0.0,0.0078125,2.8320581912994385,2.072658061981201,1.53611159324646,0.14076729118824005,1224441.0,4.314196586608887,8.877594947814941,0.0001,0.0026724603958427906,0.01,4052.0233845333,5.0,4059,1224441.0,4059,4059,0.5528967684728237,0.0
28000,351,28448,False,7,94ea2_00000,2024-12-07_19-54-36,1733597676,5.992072582244873,43.16609191894531,2720159,DanielAhmed,192.168.137.208,43.16609191894531,7,2.536080299830889,4.428817206502729,0.019032083926826367,6.152967010225568,1.1716570172991072e-05,6.152830941336496,0.5644723319089721,1,10.0,-42.91548028500307,4000,-17.968417275724146,54,1204000,2.3540655098898156,76.55714285714284,100,28000,14,0,0,34.825,84.775,-17.968417275724146,4000,112000,112000,-17.968417275724146,4000,0.002989053726196289,0.0,0.00390625,3.0458662509918213,2.0751633644104004,1.3960994482040405,-0.10610383749008179,1224441.0,6.447906017303467,7.719157695770264,0.0001,0.002788764424622059,0.01,4052.0313132794836,6.0,4068,1224441.0,4068,4068,0.5527257054873291,0.0
32000,409,32520,False,8,94ea2_00000,2024-12-07_19-54-42,1733597682,6.020082950592041,49.18617486953735,2720159,DanielAhmed,192.168.137.208,49.18617486953735,8,2.5333407657923543,4.421778546217512,0.01902544707759331,6.134712040424347,1.195073127746582e-05,6.13457328081131,0.5553439455333031,1,10.0,-43.014164071700506,4000,-12.662212902861903,58,1600000,2.3528448372092696,74.24857142857145,100,32000,14,0,0,31.055555555555557,85.06666666666666,-12.662212902861903,4000,144000,144000,-12.662212902861903,4000,0.001198112964630127,0.0,0.001953125,2.977670192718506,2.0763142108917236,1.4861667156219482,0.018086913973093033,1224441.0,6.436492443084717,5.6975417137146,0.0001,0.001985037000849843,0.01,4052.04108111229,7.0,4072,1224441.0,4072,4072,0.5525248858107954,0.0
36000,460,36584,False,9,94ea2_00000,2024-12-07_19-54-48,1733597688,6.040041446685791,55.226216316223145,2720159,DanielAhmed,192.168.137.208,55.226216316223145,9,2.530311649514418,4.415370107685344,0.018966915166562338,6.122670782936944,1.1629528469509549e-05,6.122532897525364,0.5594993590445457,1,10.0,-43.014164071700506,4000,-13.06197513473603,51,2052000,2.35150863157292,75.29714285714286,100,36000,14,0,0,34.45,84.8,-13.06197513473603,4000,180000,180000,-13.06197513473603,4000,0.0016184449195861816,0.0,0.0009765625,2.3340823650360107,2.0693488121032715,1.0786700248718262,-0.0676836371421814,1224441.0,4.167147636413574,2.161391496658325,0.0001,0.0030007793102413416,0.01,4052.051850457113,8.0,4064,1224441.0,4064,4064,0.5523050983620422,0.0
40000,510,40648,False,10,94ea2_00000,2024-12-07_19-54-54,1733597694,6.18035101890564,61.406567335128784,2720159,DanielAhmed,192.168.137.208,61.406567335128784,10,2.528387936819337,4.409286124458504,0.018978146204708078,6.1270463228225704,1.1444091796875e-05,6.126910018920898,0.5740661658004059,1,10.0,-42.85901430329374,4000,-13.726021898935779,50,2560000,2.3502195560026586,76.36000000000001,100,40000,14,0,0,32.34444444444445,84.73333333333335,-13.726021898935779,4000,220000,220000,-13.726021898935779,4000,0.0006971359252929688,0.0,0.00048828125,3.147909641265869,2.072462797164917,1.583564043045044,0.03033202514052391,1224441.0,5.220614910125732,1.7450826168060303,0.0001,0.0018468201160430908,0.01,4052.063600306928,9.0,4064,1224441.0,4064,4064,0.5520567102106823,0.0
